match_id,start_date,venue,venue_type,era_label,win_loss_flag,format,india_runs,india_balls,india_sr,india_boundaries,india_bat_first,india_first_innings_score,india_bowl_econ,india_bowl_wkts,india_dbp
64814,2002-12-29,"McLean Park, Napier",Away,Early 2000s,0.0,ODI,202,262,77.1,21,0,0,5.08,9,0.5133
64815,2003-01-01,"Jade Stadium, Christchurch",Away,Early 2000s,0.0,ODI,86,247,34.82,10,1,86,4.062,5,0.677
64816,2003-01-04,"Davies Park, Queenstown",Away,Early 2000s,0.0,ODI,104,262,39.69,11,1,104,4.792,3,0.7013
64817,2003-01-08,"Westpac Stadium, Wellington",Away,Early 2000s,1.0,ODI,146,260,56.15,21,0,0,3.938,10,0.6875
64819,2003-01-14,"Westpac Park, Hamilton",Away,Early 2000s,0.0,ODI,108,269,40.15,15,1,108,4.36,4,0.6744
64882,2004-03-16,Rawalpindi Cricket Stadium,Away,Early 2000s,0.0,ODI,280,292,95.89,33,0,0,6.58,6,0.4467
64883,2004-03-19,Arbab Niaz Stadium,Away,Early 2000s,0.0,ODI,211,300,70.33,29,1,211,5.218,6,0.5387
64884,2004-03-21,Gaddafi Stadium,Away,Early 2000s,1.0,ODI,257,270,95.19,35,0,0,5.86,9,0.46
64885,2004-03-24,Gaddafi Stadium,Away,Early 2000s,1.0,ODI,277,300,92.33,33,1,277,5.289,10,0.4704
64914,2004-12-23,MA Aziz Stadium,Away,Early 2000s,1.0,ODI,227,300,75.67,25,1,227,4.68,8,0.6
64917,2004-12-27,Bangabandhu National Stadium,Away,Early 2000s,1.0,ODI,337,300,112.33,43,1,337,5.14,9,0.57
64939,2005-04-05,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home,Early 2000s,1.0,ODI,345,300,115.0,43,1,345,6.747,10,0.4528
64941,2005-04-12,"Sardar Patel (Gujarat) Stadium, Motera",Home,Early 2000s,0.0,ODI,276,288,95.83,33,1,276,6.646,7,0.3611
64942,2005-04-15,Green Park,Home,Early 2000s,0.0,ODI,233,300,77.67,25,1,233,5.976,5,0.6443
64943,2005-04-17,Arun Jaitley Stadium,Home,Early 2000s,0.0,ODI,134,222,60.36,14,0,0,6.06,8,0.4333
65032,2004-09-01,Trent Bridge,Away,Early 2000s,0.0,ODI,156,263,59.32,16,1,156,5.289,3,0.6753
65033,2004-09-03,Kennington Oval,Away,Early 2000s,0.0,ODI,210,279,75.27,29,0,0,6.14,5,0.5733
65034,2004-09-05,Lord's,Away,Early 2000s,1.0,ODI,185,297,62.29,12,1,185,3.745,10,0.6414
65241,2003-02-12,"Boland Bank Park, Paarl",Away,Early 2000s,1.0,ODI,193,293,65.87,14,1,193,2.833,10,0.7153
65244,2003-02-15,"SuperSport Park, Centurion",Away,Early 2000s,0.0,ODI,109,250,43.6,12,1,109,5.731,1,0.5448
65250,2003-02-19,Harare Sports Club,Away,Early 2000s,1.0,ODI,238,299,79.6,23,1,238,3.851,10,0.5634
65257,2003-02-23,"City Oval, Pietermaritzburg",Away,Early 2000s,1.0,ODI,295,300,98.33,33,1,295,3.059,10,0.749
65262,2003-02-26,"Kingsmead, Durban",Away,Early 2000s,1.0,ODI,233,300,77.67,27,1,233,3.692,10,0.6886
65268,2003-03-01,"SuperSport Park, Centurion",Away,Early 2000s,1.0,ODI,248,274,90.51,32,0,0,5.438,7,0.4749
65276,2003-03-07,"Newlands, Cape Town",Away,Early 2000s,1.0,ODI,210,287,73.17,25,0,0,4.5,6,0.5467
65278,2003-03-10,"New Wanderers Stadium, Johannesburg",Away,Early 2000s,1.0,ODI,269,300,89.67,26,1,269,4.739,10,0.6884
65281,2003-03-14,"SuperSport Park, Centurion",Away,Early 2000s,1.0,ODI,140,244,57.38,18,0,0,3.232,10,0.69
65285,2003-03-20,"Kingsmead, Durban",Away,Early 2000s,1.0,ODI,259,300,86.33,21,1,259,3.863,10,0.6763
65286,2003-03-23,"New Wanderers Stadium, Johannesburg",Away,Early 2000s,0.0,ODI,213,235,90.64,25,0,0,7.204,2,0.4214
65643,2004-01-09,Melbourne Cricket Ground,Away,Early 2000s,0.0,ODI,249,294,84.69,22,0,0,5.938,10,0.5258
65645,2004-01-14,Bellerive Oval,Away,Early 2000s,1.0,ODI,194,225,86.22,22,0,0,4.16,6,0.5867
65647,2004-01-18,Brisbane Cricket Ground,Away,Early 2000s,1.0,ODI,288,300,96.0,24,1,288,5.718,10,0.4362
65648,2004-01-20,Brisbane Cricket Ground,Away,Early 2000s,1.0,ODI,245,300,81.67,18,1,245,4.898,10,0.53
65649,2004-01-22,Sydney Cricket Ground,Away,Early 2000s,1.0,ODI,288,300,96.0,30,1,288,6.65,8,0.4581
65653,2004-02-01,W.A.C.A. Ground,Away,Early 2000s,0.0,ODI,177,294,60.2,20,1,177,6.375,5,0.5677
