match_id,start_date,era_label,venue,venue_type,win_loss_flag,format
64814,2002-12-29,Early 2000s,"McLean Park, Napier",Away,0.0,ODI
64815,2003-01-01,Early 2000s,"Jade Stadium, Christchurch",Away,0.0,ODI
64816,2003-01-04,Early 2000s,"Davies Park, Queenstown",Away,0.0,ODI
64817,2003-01-08,Early 2000s,"Westpac Stadium, Wellington",Away,1.0,ODI
64819,2003-01-14,Early 2000s,"Westpac Park, Hamilton",Away,0.0,ODI
64882,2004-03-16,Early 2000s,Rawalpindi Cricket Stadium,Away,0.0,ODI
64883,2004-03-19,Early 2000s,Arbab Niaz Stadium,Away,0.0,ODI
64884,2004-03-21,Early 2000s,Gaddafi Stadium,Away,1.0,ODI
64885,2004-03-24,Early 2000s,Gaddafi Stadium,Away,1.0,ODI
64914,2004-12-23,Early 2000s,MA Aziz Stadium,Away,1.0,ODI
64917,2004-12-27,Early 2000s,Bangabandhu National Stadium,Away,1.0,ODI
64939,2005-04-05,Early 2000s,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home,1.0,ODI
64941,2005-04-12,Early 2000s,"Sardar Patel (Gujarat) Stadium, Motera",Home,0.0,ODI
64942,2005-04-15,Early 2000s,Green Park,Home,0.0,ODI
64943,2005-04-17,Early 2000s,Arun Jaitley Stadium,Home,0.0,ODI
65032,2004-09-01,Early 2000s,Trent Bridge,Away,0.0,ODI
65033,2004-09-03,Early 2000s,Kennington Oval,Away,0.0,ODI
65034,2004-09-05,Early 2000s,Lord's,Away,1.0,ODI
65241,2003-02-12,Early 2000s,"Boland Bank Park, Paarl",Away,1.0,ODI
65244,2003-02-15,Early 2000s,"SuperSport Park, Centurion",Away,0.0,ODI
65250,2003-02-19,Early 2000s,Harare Sports Club,Away,1.0,ODI
65257,2003-02-23,Early 2000s,"City Oval, Pietermaritzburg",Away,1.0,ODI
65262,2003-02-26,Early 2000s,"Kingsmead, Durban",Away,1.0,ODI
65268,2003-03-01,Early 2000s,"SuperSport Park, Centurion",Away,1.0,ODI
65276,2003-03-07,Early 2000s,"Newlands, Cape Town",Away,1.0,ODI
65278,2003-03-10,Early 2000s,"New Wanderers Stadium, Johannesburg",Away,1.0,ODI
65281,2003-03-14,Early 2000s,"SuperSport Park, Centurion",Away,1.0,ODI
65285,2003-03-20,Early 2000s,"Kingsmead, Durban",Away,1.0,ODI
65286,2003-03-23,Early 2000s,"New Wanderers Stadium, Johannesburg",Away,0.0,ODI
65643,2004-01-09,Early 2000s,Melbourne Cricket Ground,Away,0.0,ODI
65645,2004-01-14,Early 2000s,Bellerive Oval,Away,1.0,ODI
65647,2004-01-18,Early 2000s,Brisbane Cricket Ground,Away,1.0,ODI
65648,2004-01-20,Early 2000s,Brisbane Cricket Ground,Away,1.0,ODI
65649,2004-01-22,Early 2000s,Sydney Cricket Ground,Away,1.0,ODI
65653,2004-02-01,Early 2000s,W.A.C.A. Ground,Away,0.0,ODI
65655,2004-02-06,Early 2000s,Melbourne Cricket Ground,Away,0.0,ODI
65656,2004-02-08,Early 2000s,Sydney Cricket Ground,Away,0.0,ODI
65716,2004-07-27,Early 2000s,R.Premadasa Stadium,Away,1.0,ODI
65718,2004-08-01,Early 2000s,R.Premadasa Stadium,Away,0.0,ODI
66198,2004-09-11,Early 2000s,The Rose Bowl,Away,1.0,ODI
66207,2004-09-19,Early 2000s,Edgbaston,Away,0.0,ODI
66284,2002-06-29,Early 2000s,"Lord's, London",Away,1.0,ODI
66356,2003-04-21,Early 2000s,"Bangabandhu National Stadium, Dhaka",Away,1.0,ODI
