Format,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
ODI,SR Tendulkar,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,
ODI,V Kohli,2008-2026,311,299,47,14797,183,58.71,15771,93.82,54,77,18,
ODI,RG Sharma,2007-2026,282,274,37,11577,264,48.84,12482,92.74,33,61,16,
ODI,SC Ganguly,1992-2007,308,297,23,11221,183,40.95,15235,73.65,22,71,16,
ODI,R Dravid,1996-2011,340,314,39,10768,153,39.15,15127,71.18,12,82,13,
ODI,MS Dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,
ODI,M Azharuddin,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,
ODI,Yuvraj Singh,2000-2017,301,275,39,8609,150,36.47,9846,87.43,14,52,18,
ODI,V Sehwag,1999-2013,241,235,9,7995,219,35.37,7655,104.44,15,37,14,
ODI,S Dhawan,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,
ODI,SK Raina,2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,
ODI,A Jadeja,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,
ODI,G Gambhir,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,
ODI,NS Sidhu,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,
ODI,K Srikkanth,1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,
ODI,N Kapil Dev,1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,
ODI,DB Vengsarkar,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,
ODI,KL Rahul,2016-2026,94,86,20,3360,112*,50.9,3715,90.44,8,20,3,
ODI,RJ Shastri,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,
ODI,SM Gavaskar,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,
ODI,SS Iyer,2017-2026,76,70,6,2977,128*,46.51,3020,98.57,5,23,1,
ODI,AM Rahane,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,
ODI,Shubman Gill,2019-2026,61,61,8,2953,208,55.71,2982,99.02,8,17,1,
ODI,RA Jadeja,2009-2026,210,142,52,2905,87,32.27,3396,85.54,0,13,6,
ODI,M Kaif,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,
ODI,VG Kambli,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,
ODI,VVS Laxman,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,
ODI,RR Singh,1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5,
ODI,SV Manjrekar,1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3,
ODI,M Amarnath,1975-1989,85,75,12,1924,102*,30.53,3334,57.7,2,13,2,
ODI,HH Pandya,2016-2025,94,68,10,1904,92*,32.82,1717,110.89,0,11,4,
ODI,M Prabhakar,1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,
ODI,KD Karthik,2004-2019,94,79,21,1752,79,30.2,2392,73.24,0,9,6,
ODI,AT Rayudu,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,
ODI,IK Pathan,2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7,
ODI,KM Jadhav,2014-2020,73,52,19,1389,120,42.09,1367,101.6,2,6,2,
ODI,NR Mongia,1994-2000,140,96,33,1272,69,20.19,1845,68.94,0,2,4,
ODI,AB Agarkar,1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10,
ODI,D Mongia,2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4,
ODI,Harbhajan Singh,1998-2015,234,126,35,1213,49,13.32,1502,80.75,0,0,17,
ODI,SM Patil,1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4,
ODI,RV Uthappa,2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4,
ODI,Ishan Kishan,2021-2023,27,24,2,933,210,42.4,913,102.19,1,7,1,
ODI,A Kumble,1990-2007,269,134,47,903,26,10.37,1481,60.97,0,0,18,
ODI,J Srinath,1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19,
ODI,Yashpal Sharma,1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0,
ODI,RR Pant,2018-2024,31,27,1,871,125*,33.5,820,106.21,1,5,3,
ODI,HK Badani,2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1,
ODI,AR Patel,2014-2025,71,49,12,858,64*,23.18,935,91.76,0,3,3,
ODI,YK Pathan,2008-2012,57,41,11,810,123*,27.0,713,113.6,2,3,7,
