Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,RG Sharma,264,225,173,33,9,152.6,1,,v Sri Lanka,Eden Gardens,13 Nov 2014,
ODI,V Sehwag,219,208,149,25,7,146.97,1,,v West Indies,Indore,8 Dec 2011,
ODI,Ishan Kishan,210,169,131,24,10,160.3,1,,v Bangladesh,Chattogram,10 Dec 2022,
ODI,RG Sharma,209,222,158,12,16,132.27,1,,v Australia,Bengaluru,2 Nov 2013,
ODI,RG Sharma,208*,212,153,13,12,135.94,1,,v Sri Lanka,Mohali,13 Dec 2017,
ODI,Shubman Gill,208,225,149,19,9,139.59,1,,v New Zealand,Hyderabad,18 Jan 2023,
ODI,SR Tendulkar,200*,226,147,25,3,136.05,1,,v South Africa,Gwalior,24 Feb 2010,
ODI,SR Tendulkar,186*,221,150,20,3,124.0,1,,v New Zealand,Hyderabad (Deccan),8 Nov 1999,
ODI,MS Dhoni,183*,210,145,15,10,126.2,2,,v Sri Lanka,Jaipur,31 Oct 2005,
ODI,SC Ganguly,183,210,158,17,7,115.82,1,,v Sri Lanka,Taunton,26 May 1999,
ODI,V Kohli,183,211,148,22,1,123.64,2,,v Pakistan,Mirpur,18 Mar 2012,
ODI,N Kapil Dev,175*,-,138,16,6,126.81,1,,v Zimbabwe,Tunbridge Wells,18 Jun 1983,
ODI,SR Tendulkar,175,210,141,19,4,124.11,2,,v Australia,Hyderabad,5 Nov 2009,
ODI,V Sehwag,175,198,140,14,5,125.0,1,,v Bangladesh,Mirpur,19 Feb 2011,
ODI,RG Sharma,171*,205,163,13,7,104.9,1,,v Australia,W.A.C.A,12 Jan 2016,
ODI,V Kohli,166*,173,110,13,8,150.9,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
ODI,SR Tendulkar,163*,206,133,16,5,122.55,1,,v New Zealand,Christchurch,8 Mar 2009,
ODI,RG Sharma,162,-,137,20,4,118.24,1,,v West Indies,Brabourne,29 Oct 2018,
ODI,V Kohli,160*,220,159,12,2,100.62,1,,v South Africa,Cape Town,7 Feb 2018,
ODI,D Mongia,159*,233,147,17,1,108.16,1,,v Zimbabwe,Guwahati,19 Mar 2002,
ODI,RG Sharma,159,-,138,17,5,115.21,1,,v West Indies,Visakhapatnam,18 Dec 2019,
ODI,V Kohli,157*,217,129,13,4,121.7,1,,v West Indies,Visakhapatnam,24 Oct 2018,
ODI,V Kohli,154*,202,134,16,1,114.92,2,,v New Zealand,Mohali,23 Oct 2016,
ODI,M Azharuddin,153*,202,150,17,1,102.0,1,,v Zimbabwe,Cuttack,9 Apr 1998,
ODI,SC Ganguly,153*,225,150,18,3,102.0,1,,v New Zealand,Gwalior,11 Nov 1999,
ODI,R Dravid,153,196,153,15,2,100.0,1,,v New Zealand,Hyderabad (Deccan),8 Nov 1999,
ODI,RG Sharma,152*,-,117,15,8,129.91,2,,v West Indies,Guwahati,21 Oct 2018,
ODI,SR Tendulkar,152,193,151,18,0,100.66,1,,v Namibia,Pietermaritzburg,23 Feb 2003,
ODI,G Gambhir,150*,-,137,14,0,109.48,2,,v Sri Lanka,Eden Gardens,24 Dec 2009,
ODI,G Gambhir,150,214,147,14,1,102.04,1,,v Sri Lanka,Colombo (RPS),5 Feb 2009,
ODI,RG Sharma,150,215,133,13,6,112.78,2,,v South Africa,Kanpur,11 Oct 2015,
ODI,Yuvraj Singh,150,183,127,21,3,118.11,1,,v England,Cuttack,19 Jan 2017,
ODI,MS Dhoni,148,155,123,15,4,120.32,1,,v Pakistan,Visakhapatnam,5 Apr 2005,
ODI,RG Sharma,147,168,138,18,2,106.52,1,,v New Zealand,Kanpur,29 Oct 2017,
ODI,SR Tendulkar,146,200,153,15,2,95.42,1,,v Zimbabwe,Jodhpur,8 Dec 2000,
ODI,SR Tendulkar,146,186,132,17,0,110.6,1,,v Kenya,Paarl,24 Oct 2001,
ODI,V Sehwag,146,166,102,17,6,143.13,1,,v Sri Lanka,Rajkot,15 Dec 2009,
ODI,R Dravid,145,179,129,17,1,112.4,1,,v Sri Lanka,Taunton,26 May 1999,
ODI,SC Ganguly,144,192,152,8,6,94.73,1,,v Zimbabwe,Ahmedabad,5 Dec 2000,
ODI,SR Tendulkar,143,187,131,9,5,109.16,2,,v Australia,Sharjah,22 Apr 1998,
ODI,S Dhawan,143,-,115,18,3,124.34,1,,v Australia,Mohali,10 Mar 2019,
ODI,SC Ganguly,141*,216,142,11,6,99.29,1,,v South Africa,Nairobi (Gym),13 Oct 2000,
ODI,SR Tendulkar,141*,-,148,13,5,95.27,1,,v West Indies,Kuala Lumpur,14 Sep 2006,
ODI,RG Sharma,141*,195,123,17,4,114.63,2,,v Australia,Jaipur,16 Oct 2013,
ODI,SR Tendulkar,141,191,128,13,3,110.15,1,,v Australia,Dhaka,28 Oct 1998,
ODI,SC Ganguly,141,207,144,12,1,97.91,1,,v Pakistan,Adelaide,25 Jan 2000,
ODI,SR Tendulkar,141,173,135,17,1,104.44,2,,v Pakistan,Rawalpindi,16 Mar 2004,
ODI,SR Tendulkar,140*,114,101,16,3,138.61,1,,v Kenya,Bristol,23 May 1999,
ODI,V Kohli,140,-,107,21,2,130.84,2,,v West Indies,Guwahati,21 Oct 2018,
ODI,RG Sharma,140,153,113,14,3,123.89,1,,v Pakistan,Manchester,16 Jun 2019,
ODI,MS Dhoni,139*,169,121,12,5,114.87,1,,v Australia,Mohali,19 Oct 2013,
ODI,V Kohli,139*,192,126,12,3,110.31,2,,v Sri Lanka,Ranchi,16 Nov 2014,
