Format,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
ODI,A Kumble,1990-2007,269,263,14376,10300,334,6/12,30.83,4.29,43.0,8,2,
ODI,J Srinath,1991-2003,229,227,11935,8847,315,5/23,28.08,4.44,37.8,7,3,
ODI,AB Agarkar,1998-2007,191,188,9484,8021,288,6/42,27.85,5.07,32.9,10,2,
ODI,Z Khan,2000-2012,194,191,9815,8102,269,5/42,30.11,4.95,36.4,7,1,
ODI,Harbhajan Singh,1998-2015,234,225,12359,8872,265,5/31,33.47,4.3,46.6,2,3,
ODI,N Kapil Dev,1978-1994,225,221,11202,6945,253,5/43,27.45,3.71,44.2,3,1,
ODI,RA Jadeja,2009-2026,210,202,10404,8478,232,5/33,36.54,4.88,44.8,7,2,
ODI,Mohammed Shami,2013-2025,108,107,5326,4955,206,7/57,24.05,5.58,25.8,10,6,
ODI,BKV Prasad,1994-2001,161,160,8129,6332,196,5/27,32.3,4.67,41.4,3,1,
ODI,Kuldeep Yadav,2017-2026,120,117,6144,5205,194,6/25,26.82,5.08,31.6,9,2,
ODI,IK Pathan,2004-2012,120,118,5855,5142,173,5/27,29.72,5.26,33.8,5,2,
ODI,M Prabhakar,1984-1996,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2,
ODI,R Ashwin,2010-2023,116,114,6303,5180,156,4/25,33.2,4.93,40.4,1,0,
ODI,A Nehra,2001-2011,117,117,5637,4899,155,6/23,31.6,5.21,36.3,5,2,
ODI,SR Tendulkar,1989-2012,463,270,8054,6850,154,5/32,44.48,5.1,52.2,4,2,
ODI,JJ Bumrah,2016-2023,89,88,4580,3509,149,6/19,23.55,4.59,30.7,6,2,
ODI,B Kumar,2012-2022,121,120,5847,4951,141,5/42,35.11,5.08,41.4,4,1,
ODI,RJ Shastri,1981-1992,150,136,6613,4650,129,5/15,36.04,4.21,51.2,2,1,
ODI,YS Chahal,2016-2023,72,69,3739,3283,121,6/42,27.13,5.26,30.9,5,2,
ODI,I Sharma,2007-2016,80,78,3733,3563,115,4/34,30.98,5.72,32.4,6,0,
ODI,Yuvraj Singh,2000-2017,301,158,4988,4227,110,5/31,38.42,5.08,45.3,2,1,
ODI,UT Yadav,2010-2018,75,73,3558,3565,106,4/31,33.63,6.01,33.5,4,0,
ODI,SC Ganguly,1992-2007,308,170,4543,3835,100,5/16,38.35,5.06,45.4,1,2,
ODI,V Sehwag,1999-2013,241,142,4290,3737,94,4/6,39.75,5.22,45.6,1,0,
ODI,HH Pandya,2016-2025,94,88,3460,3231,91,4/24,35.5,5.6,38.0,1,0,
ODI,MM Patel,2006-2011,70,67,3154,2603,86,4/29,30.26,4.95,36.6,3,0,
ODI,RMH Binny,1980-1987,72,67,2957,2260,77,4/29,29.35,4.58,38.4,3,0,
ODI,P Kumar,2007-2012,68,67,3242,2774,77,4/31,36.02,5.13,42.1,3,0,
ODI,Mohammed Siraj,2019-2026,50,49,2251,1925,76,6/21,25.32,5.13,29.6,2,1,
ODI,AR Patel,2014-2025,71,66,3287,2461,75,3/24,32.81,4.49,43.8,0,0,
ODI,S Sreesanth,2005-2011,53,52,2476,2508,75,6/55,33.44,6.07,33.0,2,1,
ODI,S Madan Lal,1974-1987,67,64,3164,2137,73,4/20,29.27,4.05,43.3,2,0,
ODI,SB Joshi,1996-2001,69,67,3386,2509,69,5/6,36.36,4.44,49.0,1,1,
ODI,RP Singh,2005-2011,58,57,2565,2343,69,4/35,33.95,5.48,37.1,2,0,
ODI,RR Singh,1989-2001,136,117,3734,2985,69,5/22,43.26,4.79,54.1,0,2,
ODI,C Sharma,1983-1994,65,63,2835,2336,67,3/22,34.86,4.94,42.3,0,0,
ODI,Maninder Singh,1983-1993,59,57,3133,2066,66,4/22,31.3,3.95,47.4,1,0,
ODI,SN Thakur,2017-2023,47,46,1940,2014,65,4/37,30.98,6.22,29.8,3,0,
ODI,A Mishra,2003-2016,36,34,1917,1511,64,6/48,23.6,4.72,29.9,2,2,
ODI,SLV Raju,1990-1996,53,52,2770,2014,63,4/46,31.96,4.36,43.9,2,0,
ODI,DS Mohanty,1997-2001,45,44,1996,1662,57,4/56,29.15,4.99,35.0,1,0,
ODI,M Amarnath,1975-1989,85,64,2730,1971,46,3/12,42.84,4.33,59.3,0,0,
ODI,N Chopra,1998-2000,39,37,1835,1286,46,5/21,27.95,4.2,39.8,1,1,
ODI,M Prasidh Krishna,2021-2026,23,23,1097,1102,40,4/12,27.55,6.02,27.4,3,0,
ODI,R Vinay Kumar,2010-2013,31,31,1436,1423,38,4/30,37.44,5.94,37.7,1,0,
ODI,M Kartik,2002-2007,37,36,1907,1612,37,6/27,43.56,5.07,51.5,0,1,
ODI,SK Raina,2005-2018,226,101,2126,1811,36,3/34,50.3,5.11,59.0,0,0,
ODI,L Balaji,2002-2009,30,30,1447,1344,34,4/48,39.52,5.57,42.5,1,0,
ODI,RR Powar,2004-2007,31,29,1536,1191,34,3/24,35.02,4.65,45.1,0,0,
ODI,YK Pathan,2008-2012,57,50,1490,1365,33,3/49,41.36,5.49,45.1,0,0,
