Format,Player,Overs,BPO,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,Mohammed Shami,9.5,6,0,57,7,5.79,2,,v New Zealand,Wankhede,15 Nov 2023,
ODI,STR Binny,4.4,6,2,4,6,0.85,2,,v Bangladesh,Mirpur,17 Jun 2014,
ODI,A Kumble,6.1,6,2,12,6,1.94,2,,v West Indies,Eden Gardens,27 Nov 1993,
ODI,JJ Bumrah,7.2,6,3,19,6,2.59,1,,v England,The Oval,12 Jul 2022,
ODI,Mohammed Siraj,7.0,6,1,21,6,3.0,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
ODI,A Nehra,10.0,6,2,23,6,2.3,2,,v England,Durban,26 Feb 2003,
ODI,Kuldeep Yadav,10.0,6,0,25,6,2.5,1,,v England,Nottingham,12 Jul 2018,
ODI,M Kartik,10.0,6,3,27,6,2.7,1,,v Australia,Wankhede,17 Oct 2007,
ODI,AB Agarkar,9.3,6,1,42,6,4.42,1,,v Australia,Melbourne,9 Jan 2004,
ODI,YS Chahal,10.0,6,0,42,6,4.2,1,,v Australia,Melbourne,18 Jan 2019,
ODI,A Mishra,8.5,6,0,48,6,5.43,1,,v Zimbabwe,Bulawayo,3 Aug 2013,
ODI,S Sreesanth,10.0,6,1,55,6,5.5,1,,v England,Indore,15 Apr 2006,
ODI,A Nehra,10.0,6,1,59,6,5.9,1,,v Sri Lanka,Colombo (RPS),9 Aug 2005,
ODI,SB Joshi,10.0,6,6,6,5,0.6,1,,v South Africa,Nairobi (Gym),26 Sep 1999,
ODI,RJ Shastri,6.5,6,1,15,5,2.19,2,,v Australia,W.A.C.A,8 Dec 1991,
ODI,SC Ganguly,10.0,6,3,16,5,1.6,2,,v Pakistan,Toronto,18 Sep 1997,
ODI,A Mishra,6.0,6,2,18,5,3.0,2,,v New Zealand,Visakhapatnam,29 Oct 2016,
ODI,Mohammed Shami,5.0,6,1,18,5,3.6,2,,v Sri Lanka,Wankhede,2 Nov 2023,
ODI,Arshad Ayub,9.0,6,0,21,5,2.33,1,,v Pakistan,Dhaka,31 Oct 1988,
ODI,N Chopra,6.2,6,2,21,5,3.31,2,,v West Indies,Toronto,14 Sep 1999,
ODI,RR Singh,5.0,6,0,22,5,4.4,1,,v Sri Lanka,Guwahati,22 Dec 1997,
ODI,YS Chahal,8.2,6,1,22,5,2.64,1,,v South Africa,Centurion,4 Feb 2018,
ODI,J Srinath,10.0,6,4,23,5,2.3,1,,v Bangladesh,Dhaka,10 Jan 1998,
ODI,J Srinath,6.4,6,1,24,5,3.6,1,,v Sri Lanka,Kanpur,7 Nov 1993,
ODI,Kuldeep Yadav,8.0,6,0,25,5,3.12,2,,v Pakistan,Colombo (RPS),10 Sep 2023,
ODI,SK Sharma,7.3,6,0,26,5,3.46,2,,v West Indies,Sharjah,16 Oct 1988,
ODI,K Srikkanth,7.0,6,0,27,5,3.85,1,,v New Zealand,Visakhapatnam,10 Dec 1988,
