Format,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
T20,RG Sharma,2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205,
T20,V Kohli,2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124,
T20,SA Yadav,2021-2026,113,107,17,3272,117,36.35,2008,162.94,4,25,7,297,179,
T20,HH Pandya,2016-2026,138,109,28,2288,71*,28.24,1568,145.91,0,9,4,168,126,
T20,KL Rahul,2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,
T20,S Dhawan,2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,
T20,MS Dhoni,2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,
T20,SK Raina,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,
T20,Abhishek Sharma,2024-2026,46,45,2,1438,135,33.44,755,190.46,2,10,6,139,96,
T20,SV Samson,2015-2026,62,54,5,1399,111,28.55,892,156.83,3,6,7,115,84,
T20,NT Tilak Varma,2023-2026,49,46,15,1390,120*,44.83,955,145.54,2,6,4,109,72,
T20,Ishan Kishan,2021-2026,45,45,1,1328,103,30.18,897,148.04,1,10,2,134,70,
T20,RR Pant,2017-2024,76,66,14,1209,65*,23.25,950,127.26,0,3,4,111,44,
T20,Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
T20,SS Iyer,2017-2023,51,47,11,1104,74*,30.66,811,136.12,0,8,4,90,44,
T20,S Dube,2019-2026,64,48,16,991,66,30.96,643,154.12,0,6,2,64,63,
T20,G Gambhir,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,
T20,Shubman Gill,2023-2025,36,36,5,869,126*,28.03,627,138.59,1,3,2,98,26,
T20,YBK Jaiswal,2023-2024,23,22,2,723,100,36.15,440,164.31,1,5,2,82,38,
T20,MK Pandey,2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19,
T20,AR Patel,2015-2026,94,57,19,702,65,18.47,524,133.96,0,1,4,50,28,
T20,KD Karthik,2006-2022,59,47,22,686,55,27.44,476,144.11,0,1,2,71,28,
T20,RK Singh,2023-2026,45,33,16,665,69*,39.11,427,155.73,0,3,2,55,38,
T20,RD Gaikwad,2021-2024,23,20,4,633,123*,39.56,441,143.53,1,4,1,65,24,
T20,RA Jadeja,2009-2024,74,41,17,515,46*,21.45,405,127.16,0,0,3,39,14,
T20,V Sehwag,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,
T20,AM Rahane,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,
T20,DJ Hooda,2022-2023,21,17,5,368,104,30.66,250,147.2,1,0,2,29,18,
T20,Washington Sundar,2017-2026,60,25,9,265,50,16.56,200,132.5,0,1,4,21,14,
T20,RV Uthappa,2007-2015,13,12,2,249,50,24.9,211,118.0,0,1,1,26,6,
T20,YK Pathan,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17,
T20,R Ashwin,2010-2022,65,19,12,184,31*,26.28,160,115.0,0,0,0,17,4,
T20,IK Pathan,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7,
T20,M Vijay,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8,
T20,JM Sharma,2023-2025,16,12,3,162,35,18.0,107,151.4,0,0,1,16,7,
T20,VR Iyer,2021-2022,9,7,3,133,35*,33.25,82,162.19,0,0,0,15,5,
T20,KH Pandya,2018-2021,19,10,5,124,26*,24.8,95,130.52,0,0,0,8,6,
T20,KM Jadhav,2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3,
T20,Harbhajan Singh,2006-2016,28,13,5,108,21,13.5,87,124.13,0,0,1,11,4,
T20,R Parag,2024-2024,9,6,0,106,34,17.66,70,151.42,0,0,0,3,9,
T20,V Shankar,2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5,
T20,RA Tripathi,2023-2023,5,5,0,97,44,19.4,67,144.77,0,0,1,11,5,
T20,K Nitish Kumar Reddy,2024-2025,4,3,1,90,74,45.0,50,180.0,0,1,1,4,8,
T20,Arshdeep Singh,2022-2026,84,29,14,89,12,5.93,86,103.48,0,0,5,9,3,
T20,Mandeep Singh,2016-2016,3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1,
T20,HV Patel,2021-2023,25,10,4,77,18,12.83,57,135.08,0,0,1,9,3,
T20,SN Thakur,2018-2022,25,6,3,69,22*,23.0,38,181.57,0,0,2,5,4,
T20,B Kumar,2012-2022,87,21,13,67,16,8.37,94,71.27,0,0,2,0,0,
T20,Ravi Bishnoi,2022-2026,44,14,7,65,10*,9.28,52,125.0,0,0,2,9,1,
T20,Harshit Rana,2025-2026,9,3,1,57,35,28.5,54,105.55,0,0,0,4,2,
