Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
T20,Abhishek Sharma,135,93,54,7,13,250.0,1,,v England,Wankhede,2 Feb 2025,
T20,Shubman Gill,126*,99,63,12,7,200.0,1,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,RD Gaikwad,123*,97,57,13,7,215.78,1,,v Australia,Guwahati,28 Nov 2023,
T20,V Kohli,122*,90,61,12,6,200.0,1,,v Afghanistan,Dubai (DICS),8 Sep 2022,
T20,RG Sharma,121*,103,69,11,8,175.36,1,,v Afghanistan,Bengaluru,17 Jan 2024,
T20,NT Tilak Varma,120*,69,47,9,10,255.31,1,,v South Africa,Johannesburg,15 Nov 2024,
T20,RG Sharma,118,61,43,12,10,274.41,1,,v Sri Lanka,Indore,22 Dec 2017,
T20,SA Yadav,117,88,55,14,6,212.72,2,,v England,Nottingham,10 Jul 2022,
T20,SA Yadav,112*,67,51,7,9,219.6,1,,v Sri Lanka,Rajkot,7 Jan 2023,
T20,RG Sharma,111*,95,61,8,7,181.96,1,,v West Indies,Lucknow,6 Nov 2018,
T20,SA Yadav,111*,72,51,11,7,217.64,1,,v New Zealand,Mount Maunganui,20 Nov 2022,
T20,SV Samson,111,74,47,11,8,236.17,1,,v Bangladesh,Hyderabad,12 Oct 2024,
T20,KL Rahul,110*,84,51,12,5,215.68,2,,v West Indies,Lauderhill,27 Aug 2016,
T20,SV Samson,109*,104,56,6,9,194.64,1,,v South Africa,Johannesburg,15 Nov 2024,
T20,NT Tilak Varma,107*,97,56,8,7,191.07,1,,v South Africa,Centurion,13 Nov 2024,
T20,SV Samson,107,75,50,7,10,214.0,1,,v South Africa,Durban,8 Nov 2024,
T20,RG Sharma,106,79,66,12,5,160.6,1,,v South Africa,Dharamsala,2 Oct 2015,
T20,DJ Hooda,104,78,57,9,6,182.45,1,,v Ireland,Dublin (Malahide),28 Jun 2022,
T20,Ishan Kishan,103,67,43,6,10,239.53,1,,v New Zealand,Thiruvananthapuram,31 Jan 2026,
T20,KL Rahul,101*,-,54,10,5,187.03,2,,v England,Manchester,3 Jul 2018,
T20,SK Raina,101,85,60,9,5,168.33,1,,v South Africa,Gros Islet,2 May 2010,
T20,RG Sharma,100*,-,56,11,5,178.57,2,,v England,Bristol,8 Jul 2018,
