Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,DL Chahar,3.2,0,7,6,2.1,2,,v Bangladesh,Nagpur,10 Nov 2019,
T20,YS Chahal,4.0,0,25,6,6.25,2,,v England,Bengaluru,1 Feb 2017,
T20,B Kumar,4.0,1,4,5,1.0,2,,v Afghanistan,Dubai (DICS),8 Sep 2022,
T20,Kuldeep Yadav,2.5,0,17,5,6.0,2,,v South Africa,Johannesburg,14 Dec 2023,
T20,CV Varun,4.0,0,17,5,4.25,2,,v South Africa,Gqeberha,10 Nov 2024,
T20,B Kumar,4.0,0,24,5,6.0,2,,v South Africa,Johannesburg,18 Feb 2018,
T20,Kuldeep Yadav,4.0,0,24,5,6.0,1,,v England,Manchester,3 Jul 2018,
T20,CV Varun,4.0,0,24,5,6.0,1,,v England,Rajkot,28 Jan 2025,
T20,Arshdeep Singh,4.0,0,51,5,12.75,2,,v New Zealand,Thiruvananthapuram,31 Jan 2026,
T20,Kuldeep Yadav,2.1,0,7,4,3.23,1,,v U.A.E.,Dubai (DICS),10 Sep 2025,
T20,R Ashwin,4.0,1,8,4,2.0,1,,v Sri Lanka,Visakhapatnam,14 Feb 2016,
T20,Arshdeep Singh,4.0,0,9,4,2.25,1,,v U.S.A.,New York,12 Jun 2024,
T20,BB Sran,4.0,0,10,4,2.5,1,,v Zimbabwe,Harare,20 Jun 2016,
T20,DJ Hooda,2.5,0,10,4,3.52,2,,v New Zealand,Mount Maunganui,20 Nov 2022,
T20,R Ashwin,3.2,0,11,4,3.3,2,,v Australia,Mirpur,30 Mar 2014,
T20,Harbhajan Singh,4.0,2,12,4,3.0,2,,v England,Colombo (RPS),23 Sep 2012,
T20,RP Singh,4.0,0,13,4,3.25,2,,v South Africa,Durban,20 Sep 2007,
T20,B Kumar,4.0,0,13,4,3.25,2,,v South Africa,Cuttack,12 Jun 2022,
T20,Ravi Bishnoi,4.0,2,13,4,3.25,1,,v Zimbabwe,Harare,6 Jul 2024,
T20,JJ Bumrah,4.0,0,15,4,3.75,2,,v New Zealand,Ahmedabad,8 Mar 2026,
T20,Ravi Bishnoi,2.4,0,16,4,6.0,2,,v West Indies,Lauderhill,7 Aug 2022,
T20,HH Pandya,4.0,0,16,4,4.0,2,,v New Zealand,Ahmedabad,1 Feb 2023,
T20,Mohammed Siraj,4.0,0,17,4,4.25,1,,v New Zealand,Napier,22 Nov 2022,
T20,Avesh Khan,4.0,0,18,4,4.5,2,,v South Africa,Rajkot,17 Jun 2022,
T20,Z Khan,3.0,0,19,4,6.33,1,,v Ireland,Nottingham,10 Jun 2009,
T20,AB Dinda,3.0,1,19,4,6.33,2,,v Sri Lanka,Pallekele,7 Aug 2012,
T20,PP Ojha,4.0,0,21,4,5.25,2,,v Bangladesh,Nottingham,6 Jun 2009,
T20,Kuldeep Yadav,4.0,1,21,4,5.25,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,B Kumar,3.3,0,22,4,6.28,2,,v Sri Lanka,Colombo (RPS),25 Jul 2021,
T20,Shivam Mavi,4.0,0,22,4,5.5,2,,v Sri Lanka,Wankhede,3 Jan 2023,
T20,Mukesh Kumar,3.3,0,22,4,6.28,2,,v Zimbabwe,Harare,14 Jul 2024,
T20,YS Chahal,4.0,0,23,4,5.75,2,,v Sri Lanka,Cuttack,20 Dec 2017,
T20,HV Patel,3.1,0,25,4,7.89,2,,v South Africa,Visakhapatnam,14 Jun 2022,
T20,B Kumar,4.0,0,26,4,6.5,1,,v Pakistan,Dubai (DICS),28 Aug 2022,
T20,SN Thakur,4.0,0,27,4,6.75,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
