Format,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
T20,Arshdeep Singh,2022-2026,84,83,293.2,2,2502,127,5/51,19.7,8.52,13.8,2,1,
T20,JJ Bumrah,2016-2026,95,92,335.4,12,2188,121,4/15,18.08,6.51,16.6,1,0,
T20,HH Pandya,2016-2026,138,125,370.5,5,3093,114,4/16,27.13,8.34,19.5,3,0,
T20,AR Patel,2015-2026,94,88,280.4,4,2078,97,3/9,21.42,7.4,17.3,0,0,
T20,YS Chahal,2016-2023,80,79,294.0,2,2409,96,6/25,25.09,8.19,18.3,2,1,
T20,Kuldeep Yadav,2017-2026,54,52,187.5,2,1306,95,5/17,13.74,6.95,11.8,3,2,
T20,B Kumar,2012-2022,87,86,298.3,10,2079,90,5/4,23.1,6.96,19.9,3,2,
T20,CV Varun,2021-2026,45,43,160.3,1,1213,73,5/17,16.61,7.55,13.1,1,2,
T20,R Ashwin,2010-2022,65,65,242.0,3,1672,72,4/8,23.22,6.9,20.1,2,0,
T20,Ravi Bishnoi,2022-2026,44,44,168.4,3,1249,64,4/13,19.51,7.4,15.8,2,0,
T20,RA Jadeja,2009-2024,74,71,226.0,4,1612,54,3/15,29.85,7.13,25.1,0,0,
T20,Washington Sundar,2017-2026,60,56,173.5,1,1214,51,3/3,23.8,6.98,20.4,0,0,
T20,A Nehra,2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0,
T20,SN Thakur,2018-2022,25,24,84.2,0,772,33,4/27,23.39,9.15,15.3,1,0,
T20,DL Chahar,2018-2023,25,25,90.0,2,747,31,6/7,24.09,8.3,17.4,0,1,
T20,S Dube,2019-2026,64,42,87.2,0,854,31,3/4,27.54,9.77,16.9,0,0,
T20,HV Patel,2021-2023,25,24,83.5,0,770,29,4/25,26.55,9.18,17.3,1,0,
T20,IK Pathan,2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0,
T20,Yuvraj Singh,2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0,
T20,Avesh Khan,2022-2024,25,24,83.1,1,752,27,4/18,27.85,9.04,18.4,1,0,
T20,Mohammed Shami,2014-2025,25,25,85.0,1,761,27,3/15,28.18,8.95,18.8,0,0,
T20,Harbhajan Singh,2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.2,24.4,1,0,
T20,Mukesh Kumar,2023-2024,17,17,54.0,0,487,20,4/22,24.35,9.01,16.2,1,0,
T20,AB Dinda,2009-2012,9,9,30.0,1,245,17,4/19,14.41,8.16,10.5,1,0,
T20,Z Khan,2006-2012,17,17,58.4,0,448,17,4/19,26.35,7.63,20.7,1,0,
T20,Mohammed Siraj,2017-2026,17,17,62.0,2,481,17,4/17,28.29,7.75,21.8,1,0,
T20,KK Ahmed,2018-2024,18,18,66.0,1,562,16,2/27,35.12,8.51,24.7,0,0,
T20,A Mishra,2010-2017,10,10,38.0,1,240,16,3/24,15.0,6.31,14.2,0,0,
T20,KH Pandya,2018-2021,19,19,68.2,1,554,15,4/36,36.93,8.1,27.3,1,0,
T20,RP Singh,2007-2009,10,9,33.0,0,225,15,4/13,15.0,6.81,13.2,1,0,
T20,JD Unadkat,2016-2018,10,10,34.4,0,301,14,3/38,21.5,8.68,14.8,0,0,
T20,YK Pathan,2007-2012,22,17,50.5,0,438,13,2/22,33.69,8.61,23.4,0,0,
T20,SK Raina,2006-2018,78,27,58.1,0,442,13,2/6,34.0,7.59,26.8,0,0,
T20,NA Saini,2019-2021,11,9,32.5,1,235,13,3/17,18.07,7.15,15.1,0,0,
T20,UT Yadav,2012-2022,9,9,30.0,0,280,12,2/19,23.33,9.33,15.0,0,0,
T20,Umran Malik,2022-2023,8,8,23.1,0,243,11,3/48,22.09,10.48,12.6,0,0,
T20,L Balaji,2012-2012,5,5,16.0,0,121,10,3/19,12.1,7.56,9.6,0,0,
T20,PP Ojha,2009-2010,6,6,21.0,0,132,10,4/21,13.2,6.28,12.6,1,0,
T20,R Vinay Kumar,2010-2013,9,9,31.3,0,247,10,3/24,24.7,7.84,18.9,0,0,
T20,Harshit Rana,2025-2026,9,8,28.0,1,297,9,3/33,33.0,10.6,18.6,0,0,
T20,P Kumar,2008-2012,10,10,26.0,1,193,8,2/14,24.12,7.42,19.5,0,0,
T20,M Prasidh Krishna,2023-2023,5,5,20.0,0,220,8,3/41,27.5,11.0,15.0,0,0,
T20,I Sharma,2008-2013,14,14,46.2,0,400,8,2/34,50.0,8.63,34.7,0,0,
T20,Abhishek Sharma,2024-2026,46,19,27.3,0,239,7,2/3,34.14,8.69,23.5,0,0,
T20,RD Chahar,2019-2021,6,6,22.0,0,167,7,3/15,23.85,7.59,18.8,0,0,
T20,T Natarajan,2020-2021,4,4,16.0,0,122,7,3/30,17.42,7.62,13.7,0,0,
T20,Shivam Mavi,2023-2023,6,6,14.0,0,123,7,4/22,17.57,8.78,12.0,1,0,
T20,S Sreesanth,2006-2008,10,9,34.0,2,288,7,2/12,41.14,8.47,29.1,0,0,
T20,DJ Hooda,2022-2023,21,8,15.5,0,76,6,4/10,12.66,4.8,15.8,1,0,
T20,MM Sharma,2014-2015,8,8,23.0,0,185,6,2/28,30.83,8.04,23.0,0,0,
